"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted"
"VCT",2020,"HPV","HPV",4.62304517493205,0
"VUT",2020,"HPV","HPV",19.7757585039544,0
"WSM",2020,"HPV","HPV",8.78782747430946,0
"ZAF",2020,"HPV","HPV",7690.41440926712,0
"ZMB",2020,"HPV","HPV",9501.27825215801,7691.51096603267
"ZWE",2020,"HPV","HPV",5828.64769936445,0
"AGO",2021,"HPV","HPV",4136.57051570107,0
"ALB",2021,"HPV","HPV",18.996596741885,0
"ARE",2021,"HPV","HPV",35.2513976729463,0
"ARG",2021,"HPV","HPV",2661.76171740025,0
"ARM",2021,"HPV","HPV",60.8141588850396,0
"AUS",2021,"HPV","HPV",1240.22659567,0
"BDI",2021,"HPV","HPV",4418.11530983872,0
"BEL",2021,"HPV","HPV",325.245787857198,0
"BFA",2021,"HPV","HPV",6553.35086712168,0
"BGR",2021,"HPV","HPV",19.6113417608807,0
"BHS",2021,"HPV","HPV",9.46077891659472,0
"BLR",2021,"HPV","HPV",148.139983257475,0
"BLZ",2021,"HPV","HPV",37.7825177895252,0
"BOL",2021,"HPV","HPV",1573.07029793536,0
"BRA",2021,"HPV","HPV",18809.0834205535,0
"BRB",2021,"HPV","HPV",3.34854281556385,0
"BRN",2021,"HPV","HPV",14.0976057871953,0
"BTN",2021,"HPV","HPV",51.1774459443586,0
"BWA",2021,"HPV","HPV",228.006342099045,53.2014798231105
"CAN",2021,"HPV","HPV",1701.46084036222,0
"CHE",2021,"HPV","HPV",123.684692802637,0
"CHL",2021,"HPV","HPV",647.892781977717,449.713813372768
"CHN",2021,"HPV","HPV",3996.98964412213,0
"CIV",2021,"HPV","HPV",5260.00901670027,0
"CMR",2021,"HPV","HPV",4563.02407481523,330.653918464872
"COL",2021,"HPV","HPV",821.427635212834,220.383024081492
"CPV",2021,"HPV","HPV",64.9295735497343,0
"CRI",2021,"HPV","HPV",172.962620666483,0
"CYP",2021,"HPV","HPV",7.33458218140412,0
"DEU",2021,"HPV","HPV",2272.72283996403,0
"DNK",2021,"HPV","HPV",88.1368166416048,0
"DOM",2021,"HPV","HPV",923.781047540156,0
"ECU",2021,"HPV","HPV",1450.92298618844,30.5457470776514
"ESP",2021,"HPV","HPV",1831.07744685749,0
"EST",2021,"HPV","HPV",18.2415362406072,0
"ETH",2021,"HPV","HPV",12411.9849264078,14446.7365536877
"FIN",2021,"HPV","HPV",106.039092012677,0
"FJI",2021,"HPV","HPV",83.8192768496616,0
"FRA",2021,"HPV","HPV",1702.46489641573,0
"FSM",2021,"HPV","HPV",1.55286147362149,0.709879530798398
"GBR",2021,"HPV","HPV",4031.66433862537,0
"GEO",2021,"HPV","HPV",76.7614953684782,29.7450794552853
"GHA",2021,"HPV","HPV",7383.38850306826,0
"GMB",2021,"HPV","HPV",475.586269129407,178.344850923528
"GRD",2021,"HPV","HPV",8.74460618520958,0
"GTM",2021,"HPV","HPV",1250.55862164444,0
"GUY",2021,"HPV","HPV",68.5502473502508,1.90417353750697
"HND",2021,"HPV","HPV",721.76440625976,0
"HUN",2021,"HPV","HPV",160.455326552173,0
"IDN",2021,"HPV","HPV",5491.92088942178,0
"IRL",2021,"HPV","HPV",195.426093361396,0
"ISL",2021,"HPV","HPV",13.2345449081854,0
"ISR",2021,"HPV","HPV",435.389322287465,0
"ITA",2021,"HPV","HPV",1982.16802184035,0
"JAM",2021,"HPV","HPV",191.889144754909,0
"JPN",2021,"HPV","HPV",2702.17834777629,0
"KEN",2021,"HPV","HPV",9766.92921287663,6559.87782954401
"KGZ",2021,"HPV","HPV",526.859301781586,0
"KOR",2021,"HPV","HPV",459.378924416464,0
"LAO",2021,"HPV","HPV",393.185723731256,0
"LBR",2021,"HPV","HPV",1243.27922393988,0
"LCA",2021,"HPV","HPV",4.95984358632046,0
"LKA",2021,"HPV","HPV",611.194537650224,0
"LSO",2021,"HPV","HPV",288.648369636176,0
"LTU",2021,"HPV","HPV",36.8479316891897,0
"LUX",2021,"HPV","HPV",12.1375269343709,0
"LVA",2021,"HPV","HPV",54.0886388803633,0
"MAR",2021,"HPV","HPV",2180.98351945808,0
"MDA",2021,"HPV","HPV",140.690316214818,0
