"gavi73","mean","lower","upper","column_text","percent"
1,37912206.1706131,35561374.1492822,40218294.3299881,"37.9 (35.6-40.2)",74.3
0,13097779.2489624,12305668.7881157,13875675.8409697,"13.1 (12.3-13.9)",25.7
