"income_group","mean","lower","upper","column_text","percent"
"Low income",12986430.5575076,12156417.3924238,13840088.456736,"13 (12.2-13.8)",25.5
"Upper middle income",11232161.0232716,10512693.7464836,11983360.3786888,"11.2 (10.5-12)",22
"Lower middle income",24766461.5192832,22376854.2714752,26876615.9775457,"24.8 (22.4-26.9)",48.6
"High income",2024932.31951305,1693735.07832311,2356412.98580936,"2 (1.7-2.4)",4
