"gavi73","2001-2010","2011-2020","2021-2030"
0,"12.4 (11.4-13.5)","13.2 (12.4-14.1)","13.1 (12.3-13.9)"
1,"17.2 (13.9-20.2)","26.3 (23.9-29.2)","37.9 (35.6-40.2)"
