"region","2001-2010","2011-2020","2021-2030"
"AFRO","8.8 (6.6-10.6)","14.4 (13.1-15.9)","23 (21.1-25)"
"EMRO","3.1 (2.5-3.7)","4.5 (3.9-5)","5.7 (4.9-6.4)"
"EURO","1.8 (1.6-2)","2 (1.8-2.2)","1.9 (1.7-2.1)"
"PAHO","3.4 (3-3.8)","3.1 (2.7-3.5)","3.2 (2.9-3.6)"
"SEARO","6.4 (4.3-9)","8.5 (6.7-10.2)","10.5 (9.1-11.9)"
"WPRO","6.1 (5.4-7)","7 (6.3-7.6)","6.7 (6.2-7.3)"
