"region","mean","lower","upper","column_text","percent"
"EMRO",5656203.71689021,4920497.79782224,6352468.46045019,"5.7 (4.9-6.4)",11.1
"EURO",1909882.03058549,1748672.3169137,2078528.54031139,"1.9 (1.7-2.1)",3.7
"AFRO",22970601.832115,21147980.9063977,24984660.4195913,"23 (21.1-25)",45
"PAHO",3244406.38922158,2885283.66874436,3636932.26685593,"3.2 (2.9-3.6)",6.4
"WPRO",6733131.54166592,6164932.650491,7308367.0478623,"6.7 (6.2-7.3)",13.2
"SEARO",10495759.9090972,9064073.843445,11850986.8599951,"10.5 (9.1-11.9)",20.6
