"region","disease","year","total","incremental"
"EMRO","MenA",2027,1844.13882411195,327.834082439426
"EMRO","MenA",2028,1906.52181992847,390.217078255954
"EMRO","MenA",2029,1961.03548403166,444.73074235914
"EMRO","MenA",2030,2008.68434117136,492.379599498836
"EMRO","P",2021,38657.0213355235,-63.229064653765
"EMRO","P",2022,39529.9659802636,809.715580086264
"EMRO","P",2023,40359.5561231904,1639.30572301314
"EMRO","P",2024,41146.8119945261,2426.5615943488
"EMRO","P",2025,41897.4314181925,3177.18101801522
"EMRO","P",2026,42649.5564986548,3929.30609847755
"EMRO","P",2027,43389.8748834252,4669.62448324791
"EMRO","P",2028,44111.9199840199,5391.66958384262
"EMRO","P",2029,44797.9174096079,6077.66700943058
"EMRO","P",2030,45432.3368859332,6712.08648575589
"EMRO","PCV",2021,23094.2335962639,197.525361418219
"EMRO","PCV",2022,23545.5034723127,648.79523746702
"EMRO","PCV",2023,24339.9674799825,1443.25924513683
"EMRO","PCV",2024,24894.0026095133,1997.29437466767
"EMRO","PCV",2025,26142.7468925354,3246.03865768976
"EMRO","PCV",2026,27105.6913457105,4208.98311086484
"EMRO","PCV",2027,30111.9845156869,7215.27628084129
"EMRO","PCV",2028,32359.9124214594,9463.20418661375
"EMRO","PCV",2029,34061.2612141071,11164.5529792614
"EMRO","PCV",2030,35356.6000571813,12459.8918223356
"EMRO","Rota",2021,5626.92146403345,53.4444858572459
"EMRO","Rota",2022,5861.85503831298,288.37806013678
"EMRO","Rota",2023,6158.95245702019,585.475478843994
"EMRO","Rota",2024,6390.29068873674,816.813710560544
"EMRO","Rota",2025,7045.47684934546,1471.99987116926
"EMRO","Rota",2026,7488.8505225412,1915.373544365
"EMRO","Rota",2027,8509.74077803418,2936.26379985798
"EMRO","Rota",2028,9256.85801977108,3683.38104159488
"EMRO","Rota",2029,9815.99507394121,4242.51809576501
"EMRO","Rota",2030,10244.1487211928,4670.67174301657
"EMRO","Rubella",2021,2766.11118711785,-57.3485345977189
"EMRO","Rubella",2022,2765.87359015514,-57.5861315604267
"EMRO","Rubella",2023,2767.42857310859,-56.0311486069815
"EMRO","Rubella",2024,2932.88020093437,109.420479218804
"EMRO","Rubella",2025,3041.59816723696,218.138445521389
"EMRO","Rubella",2026,3696.6277482477,873.168026532127
"EMRO","Rubella",2027,4236.21975522395,1412.76003350838
"EMRO","Rubella",2028,4603.56562327373,1780.10590155816
"EMRO","Rubella",2029,4855.52590518496,2032.06618346939
"EMRO","Rubella",2030,5028.95877624346,2205.49905452789
"EMRO","T",2021,89752.714397232,-199.96587755832
"EMRO","T",2022,91731.6476667562,1778.96739196583
"EMRO","T",2023,93648.5413466958,3695.86107190546
"EMRO","T",2024,95474.7033187486,5522.02304395826
"EMRO","T",2025,97198.4254876226,7245.74521283227
"EMRO","T",2026,98896.8304331479,8944.15015835759
"EMRO","T",2027,100547.50153147,10594.8212566799
"EMRO","T",2028,102145.361313449,12192.6810386583
"EMRO","T",2029,103666.201053208,13713.520778418
"EMRO","T",2030,105087.524195887,15134.8439210964
"EMRO","TB",2021,29734.4445048778,-41.4267513237275
"EMRO","TB",2022,29930.8688523924,154.997596190898
"EMRO","TB",2023,30116.7009418499,340.829685648408
"EMRO","TB",2024,30299.8050287719,523.933772570434
"EMRO","TB",2025,30485.1187364671,709.247480265543
"EMRO","TB",2026,30698.2827524144,922.411496212917
"EMRO","TB",2027,30924.0903687046,1148.21911250313
"EMRO","TB",2028,31155.4132782443,1379.54202204283
"EMRO","TB",2029,31378.7987783442,1602.92752214265
"EMRO","TB",2030,31583.9090486666,1808.03779246508
"EMRO","YF",2024,1272.76271468442,1272.76271468442
"EMRO","YF",2025,2134.01782059173,2134.01782059173
"EMRO","YF",2026,3108.86104596732,3108.86104596732
"EMRO","YF",2027,3817.56225745332,3817.56225745332
"EMRO","YF",2028,4339.09117186828,4339.09117186828
"EMRO","YF",2029,4728.39093583725,4728.39093583725
"EMRO","YF",2030,5024.10065171445,5024.10065171445
"EURO","D",2021,17215.9881831623,-686.122404589622
"EURO","D",2022,16951.6431396512,-950.467448100718
"EURO","D",2023,16709.8785617096,-1192.23202604227
"EURO","D",2024,16498.455139631,-1403.65544812091
"EURO","D",2025,16322.199004888,-1579.91158286386
"EURO","D",2026,16194.2972368604,-1707.81335089152
"EURO","D",2027,16108.5014749392,-1793.60911281274
"EURO","D",2028,16059.5137812663,-1842.5968064856
"EURO","D",2029,16036.6368133704,-1865.47377438147
"EURO","D",2030,16030.823135507,-1871.28745224487
"EURO","HPV",2021,20039.7736461718,-4984.53851187885
"EURO","HPV",2022,20909.7325895453,-4114.57956850538
"EURO","HPV",2023,21157.1817929999,-3867.13036505073
"EURO","HPV",2024,22243.876062031,-2959.42157933426
"EURO","HPV",2025,22136.5618252713,-3066.73581609395
"EURO","HPV",2026,22031.7516011762,-3171.54604018911
"EURO","HPV",2027,23019.0648248282,-2184.2328165371
"EURO","HPV",2028,23946.3711310086,-1256.92651035664
"EURO","HPV",2029,24825.9457621519,-377.351879213365
"EURO","HPV",2030,25715.5895161814,512.291874816177
"EURO","HepB",2021,97583.4341239434,-3009.0551957172
"EURO","HepB",2022,96504.697893767,-4087.79142589357
"EURO","HepB",2023,95427.2875145733,-5165.20180508725
"EURO","HepB",2024,94403.5956202847,-6188.89369937587
"EURO","HepB",2025,93580.101440273,-7012.38787938757
"EURO","HepB",2026,92967.9691294786,-7624.52019018202
"EURO","HepB",2027,92533.9916225455,-8058.49769711512
"EURO","HepB",2028,92253.2104156188,-8339.27890404184
"EURO","HepB",2029,92064.7658482959,-8527.72347136465
"EURO","HepB",2030,91920.1034890598,-8672.38583060082
"EURO","Hib",2021,4059.01795712362,-130.802186623692
"EURO","Hib",2022,4023.29553167978,-166.524612067527
"EURO","Hib",2023,3990.04563756218,-199.774506185125
"EURO","Hib",2024,3961.50950533125,-228.310638416055
"EURO","Hib",2025,3938.91185730319,-250.908286444113
"EURO","Hib",2026,3925.33621096686,-264.483932780443
"EURO","Hib",2027,3918.93756739599,-270.882576351313
"EURO","Hib",2028,3920.00599629816,-269.814147449145
"EURO","Hib",2029,3928.00454104385,-261.815602703455
"EURO","Hib",2030,3942.02928260425,-247.790861143057
"EURO","Measles",2021,66070.6104745563,-2192.8378906945
"EURO","Measles",2022,65489.2947943775,-2774.15357087332
"EURO","Measles",2023,65040.4668460402,-3222.98151921053
"EURO","Measles",2024,64560.8171581223,-3702.63120712847
"EURO","Measles",2025,64095.4635287417,-4167.98483650907
"EURO","Measles",2026,63670.7956814182,-4592.65268383257
"EURO","Measles",2027,63289.965172742,-4973.48319250876
"EURO","Measles",2028,62950.2006915495,-5313.24767370129
"EURO","Measles",2029,62690.5022307234,-5572.94613452744
"EURO","Measles",2030,62503.2510858902,-5760.19727936058
"EURO","P",2021,7200.98567267875,-298.531177475704
"EURO","P",2022,7085.33337650308,-414.183473651372
"EURO","P",2023,6980.14755915731,-519.369290997142
"EURO","P",2024,6888.89692901298,-610.619921141476
"EURO","P",2025,6813.72010594677,-685.796744207685
"EURO","P",2026,6760.63513690092,-738.881713253535
"EURO","P",2027,6726.63878293279,-772.878067221666
"EURO","P",2028,6709.19558389246,-790.321266261998
"EURO","P",2029,6703.30708850733,-796.209761647122
"EURO","P",2030,6704.75418812059,-794.762662033868
"EURO","PCV",2021,3571.21389468723,-123.139626024367
"EURO","PCV",2022,3555.02628191859,-139.327238793006
"EURO","PCV",2023,3623.56063357144,-70.7928871401652
"EURO","PCV",2024,3869.68556217377,175.33204146217
"EURO","PCV",2025,4003.21370652533,308.860185813734
"EURO","PCV",2026,4100.10316345155,405.749642739948
"EURO","PCV",2027,4158.61227427747,464.258753565866
"EURO","PCV",2028,4196.58838303585,502.234862324248
"EURO","PCV",2029,4224.83279199332,530.479271281719
"EURO","PCV",2030,4249.03777571557,554.684255003973
"EURO","Rota",2021,393.045634299004,-8.23762608835812
"EURO","Rota",2022,394.171142021008,-7.11211836635456
"EURO","Rota",2023,412.962031816912,11.6787714295492
"EURO","Rota",2024,423.709829667862,22.4265692804991
"EURO","Rota",2025,457.23207361746,55.9488132300973
"EURO","Rota",2026,480.030836895017,78.7475765076542
"EURO","Rota",2027,499.311358055158,98.0280976677952
"EURO","Rota",2028,513.38838225463,112.105121867267
"EURO","Rota",2029,524.572478266796,123.289217879434
"EURO","Rota",2030,534.078698116337,132.795437728974
"EURO","Rubella",2021,6457.22412734231,-178.337325521533
"EURO","Rubella",2022,6373.85253068495,-261.708922178898
"EURO","Rubella",2023,6285.91334546253,-349.648107401316
"EURO","Rubella",2024,6203.64981847185,-431.911634391995
"EURO","Rubella",2025,6134.37143092893,-501.190021934918
"EURO","Rubella",2026,6084.53855490906,-551.022897954791
"EURO","Rubella",2027,6049.70009688079,-585.861355983054
"EURO","Rubella",2028,6026.56277428938,-608.998678574463
"EURO","Rubella",2029,6009.36788702494,-626.193565838907
"EURO","Rubella",2030,5993.86571120053,-641.695741663313
"EURO","T",2021,21980.1676172751,-864.839044766886
"EURO","T",2022,21647.1334283533,-1197.87323368872
"EURO","T",2023,21341.8218110102,-1503.18485103182
"EURO","T",2024,21074.0221854911,-1770.9844765509
"EURO","T",2025,20849.8452146984,-1995.16144734363
"EURO","T",2026,20685.7025086213,-2159.30415342071
"EURO","T",2027,20573.9577597325,-2271.04890230948
"EURO","T",2028,20508.0869335455,-2336.91972849645
"EURO","T",2029,20474.8520283225,-2370.1546337195
"EURO","T",2030,20463.0762738683,-2381.93038817365
"EURO","TB",2021,4813.31891289102,-214.648208403442
"EURO","TB",2022,4744.03465346675,-283.932467827715
"EURO","TB",2023,4680.48721680225,-347.479904492213
"EURO","TB",2024,4625.29288457782,-402.674236716642
"EURO","TB",2025,4580.07526094972,-447.891860344738
"EURO","TB",2026,4549.26986587137,-478.697255423096
"EURO","TB",2027,4531.21989667048,-496.747224623982
"EURO","TB",2028,4524.20496656263,-503.762154731831
"EURO","TB",2029,4524.66786146883,-503.299259825631
"EURO","TB",2030,4529.60401308251,-498.363108211955
"PAHO","D",2021,26563.3323775539,-237.739123650165
"PAHO","D",2022,26916.2512987388,115.179797534801
"PAHO","D",2023,27205.9322461081,404.860744904041
"PAHO","D",2024,27453.3468594196,652.275358215601
"PAHO","D",2025,27672.1830366343,871.111535430307
"PAHO","D",2026,27884.179362327,1083.10786112301
"PAHO","D",2027,28073.1332805226,1272.06177931858
"PAHO","D",2028,28236.4261536399,1435.35465243584
"PAHO","D",2029,28368.8571282188,1567.78562701475
"PAHO","D",2030,28467.1474073211,1666.07590611706
"PAHO","HPV",2021,100320.735587005,-33003.2622932522
"PAHO","HPV",2022,102780.364527807,-30543.63335245
"PAHO","HPV",2023,102425.528312106,-30898.469568152
"PAHO","HPV",2024,102065.41545451,-31258.5824257478
"PAHO","HPV",2025,103638.929854153,-29831.870999724
"PAHO","HPV",2026,104048.331536542,-29422.469317335
"PAHO","HPV",2027,106009.611711423,-27461.1891424543
"PAHO","HPV",2028,107916.064106125,-25554.7367477518
"PAHO","HPV",2029,109784.842472296,-23685.9583815809
"PAHO","HPV",2030,111572.633966671,-21898.1668872055
"PAHO","HepB",2021,134271.771936687,276.763484724331
"PAHO","HepB",2022,138276.637138973,4281.62868701021
"PAHO","HepB",2023,141530.081743502,7535.07329153998
"PAHO","HepB",2024,144159.774441046,10164.7659890834
"PAHO","HepB",2025,146264.111562216,12269.1031102533
"PAHO","HepB",2026,148021.905662249,14026.897210287
"PAHO","HepB",2027,149421.76070922,15426.7522572576
"PAHO","HepB",2028,150445.587070222,16450.5786182595
"PAHO","HepB",2029,151196.040267905,17201.0318159426
"PAHO","HepB",2030,151756.437325657,17761.4288736944
"PAHO","Hib",2021,6592.91552526573,-56.9860125550549
"PAHO","Hib",2022,6643.58809250786,-6.31344531291947
"PAHO","Hib",2023,6684.67157504955,34.7700372287724
"PAHO","Hib",2024,6719.52453540477,69.6229975839907
"PAHO","Hib",2025,6750.04578291542,100.144245094642
"PAHO","Hib",2026,6780.32906005596,130.427522235179
"PAHO","Hib",2027,6806.74607099803,156.844533177248
"PAHO","Hib",2028,6828.6904591175,178.788921296719
"PAHO","Hib",2029,6845.26819515847,195.366657337694
"PAHO","Hib",2030,6855.97692747091,206.075389650125
"PAHO","Measles",2021,105969.050971465,-820.692823611873
"PAHO","Measles",2022,107003.653884753,213.910089676221
"PAHO","Measles",2023,107840.950513326,1051.20671824937
"PAHO","Measles",2024,108542.596045568,1752.85225049164
"PAHO","Measles",2025,109110.856799237,2321.11300416051
"PAHO","Measles",2026,109624.663238337,2834.91944326062
"PAHO","Measles",2027,110019.425455042,3229.68165996532
"PAHO","Measles",2028,110281.023556444,3491.27976136761
"PAHO","Measles",2029,110443.487158365,3653.7433632887
"PAHO","Measles",2030,110504.499626651,3714.75583157399
"PAHO","P",2021,11518.5325420584,-109.295725872017
"PAHO","P",2022,11687.8889400579,60.0606721274984
"PAHO","P",2023,11827.398947499,199.570679568564
"PAHO","P",2024,11946.9111165786,319.082848648168
"PAHO","P",2025,12053.0708392634,425.242571333024
"PAHO","P",2026,12155.5379001056,527.709632175216
"PAHO","P",2027,12247.6849506772,619.856682746756
"PAHO","P",2028,12328.2299294995,700.401661569059
"PAHO","P",2029,12394.505055259,766.676787328629
"PAHO","P",2030,12444.76307503,816.934807099591
"PAHO","PCV",2021,6383.58032769146,-48.174069813606
"PAHO","PCV",2022,6591.17304870423,159.418651199161
"PAHO","PCV",2023,6764.11660291309,332.362205408023
"PAHO","PCV",2024,6903.94063047672,472.186232971653
"PAHO","PCV",2025,7018.21183576439,586.457438259323
"PAHO","PCV",2026,7110.69598339244,678.941585887375
"PAHO","PCV",2027,7181.6354463432,749.881048838132
"PAHO","PCV",2028,7234.16595474758,802.411557242518
"PAHO","PCV",2029,7270.96988900421,839.21549149915
"PAHO","PCV",2030,7294.54416561026,862.7897681052
"PAHO","Rota",2021,1851.35874354798,-15.16329952345
"PAHO","Rota",2022,1885.92557798703,19.4035349156032
"PAHO","Rota",2023,1918.06375181199,51.5417087405618
"PAHO","Rota",2024,1946.79682026645,80.274777195018
"PAHO","Rota",2025,1969.69952026068,103.177477189246
"PAHO","Rota",2026,1987.92806457885,121.406021507421
"PAHO","Rota",2027,2000.94551563472,134.423472563292
"PAHO","Rota",2028,2009.51385885726,142.991815785833
"PAHO","Rota",2029,2014.88530820363,148.3632651322
"PAHO","Rota",2030,2018.15887049689,151.636827425455
"PAHO","Rubella",2021,11705.7295129853,-46.9825660346161
"PAHO","Rubella",2022,11788.8747203007,36.1626412808165
"PAHO","Rubella",2023,11852.2830286357,99.5709496158599
"PAHO","Rubella",2024,11900.4484020002,147.736322980269
"PAHO","Rubella",2025,11936.1037911445,183.391712124576
"PAHO","Rubella",2026,11968.1487584565,215.436679436618
"PAHO","Rubella",2027,11987.8531279818,235.141048961866
"PAHO","Rubella",2028,11996.4559154226,243.743836402666
"PAHO","Rubella",2029,11995.9410356382,243.228956618317
"PAHO","Rubella",2030,11988.2523671661,235.540288146174
"PAHO","T",2021,33268.3183969139,-289.118193343028
"PAHO","T",2022,33692.9427919353,135.506201678384
"PAHO","T",2023,34040.7615521822,483.324961925283
"PAHO","T",2024,34337.3034944276,779.866904170688
"PAHO","T",2025,34599.0509015814,1041.61431132447
"PAHO","T",2026,34852.9983411539,1295.56175089697
"PAHO","T",2027,35078.4354300453,1520.99883978836
"PAHO","T",2028,35272.2837076439,1714.84711738694
"PAHO","T",2029,35428.5126072228,1871.07601696591
"PAHO","T",2030,35543.3876364956,1985.95104623862
"PAHO","TB",2021,7537.07217195637,-91.583422507247
"PAHO","TB",2022,7580.52137207264,-48.1342223909809
"PAHO","TB",2023,7612.8828864814,-15.7727079822201
"PAHO","TB",2024,7638.32347503025,9.66788056662622
"PAHO","TB",2025,7660.24366366645,31.5880692028341
"PAHO","TB",2026,7684.842064496,56.1864700323766
"PAHO","TB",2027,7708.27945397107,79.6238595074539
"PAHO","TB",2028,7729.21695921614,100.561364752519
"PAHO","TB",2029,7744.97816419628,116.322569732656
"PAHO","TB",2030,7753.47906629408,124.82347183046
"PAHO","YF",2021,4673.69535818398,-92.6976762871657
"PAHO","YF",2022,4869.56652475643,103.173490285283
"PAHO","YF",2023,5022.03945974997,255.646425278822
"PAHO","YF",2024,5147.4468020399,381.053767568754
"PAHO","YF",2025,5257.5727795834,491.179745112246
"PAHO","YF",2026,5363.40185503311,597.008820561966
"PAHO","YF",2027,5461.68684832429,695.293813853144
"PAHO","YF",2028,5550.27796917197,783.884934700818
"PAHO","YF",2029,5623.73885273912,857.345818267967
"PAHO","YF",2030,5678.05302447589,911.659990004743
"SEARO","D",2021,299200.500568129,355.198729135261
"SEARO","D",2022,299092.951685486,247.649846492363
"SEARO","D",2023,298248.074457994,-597.227381000012
"SEARO","D",2024,297204.279819438,-1641.02201955538
"SEARO","D",2025,296376.041748113,-2469.26009088093
"SEARO","D",2026,296056.120814264,-2789.18102473006
"SEARO","D",2027,295895.146890294,-2950.15494869983
"SEARO","D",2028,295775.525763845,-3069.77607514874
"SEARO","D",2029,295515.259332017,-3330.04250697655
"SEARO","D",2030,294976.148952995,-3869.15288599811
"SEARO","HPV",2021,14454.6241906357,14094.7123943094
"SEARO","HPV",2022,27157.5203236583,26797.6085273319
"SEARO","HPV",2023,38056.2057170239,37696.2939206975
"SEARO","HPV",2024,52747.5100451142,52387.5982487879
"SEARO","HPV",2025,97628.5264238948,97268.6146275685
"SEARO","HPV",2026,115887.898155771,115527.986359445
