"income_group","total","incremental"
"Global",461.033537727704,71.6444340294848
"High income",0.635816552451565,-0.00251808746194889
"Low income",127.092996454912,32.6068254992061
"Lower middle income",243.398313713756,34.5617922583621
"Upper middle income",89.9064110065846,4.47833435937829
