"location_iso3","disease","impact_factor","total_fvps","total_deaths_averted"
"CHN","TB",7.24310510230341e-05,329366574.89,23856.3671911396
"CIV","D",9.89620229354675e-05,10780713.7,1066.88123644011
"CIV","P",0.00638972268413833,10780713.7,68885.7708800909
"CIV","T",0.000409880041406362,10780713.7,4418.79937774613
"CIV","TB",0.00165021432194449,12249780.09,20214.7625451884
"CMR","D",9.70124346513799e-05,11065605.26,1073.50130716372
"CMR","P",0.00699615797848732,11065605.26,77416.7225265402
"CMR","T",0.000386893918218114,11065605.26,4281.21537649637
"CMR","TB",0.00195190355855526,12118294.31,23653.741787309
"COD","D",9.17830812649515e-05,31031854.98,2848.19926743153
"COD","P",0.00667223879081853,31031854.98,207051.946548611
"COD","T",0.000385503269890851,31031854.98,11962.8815655687
"COD","TB",0.00192405877025794,37643027.4,72427.3970080298
"COG","D",0.000473227421364065,2025370.9,958.461048312815
"COG","P",0.0127734487983901,2025370.9,25870.9714888993
"COG","T",0.000904616428633108,2025370.9,1832.18379021542
"COG","TB",0.00450113943969727,2328383.7,10480.3797028183
"COK","D",NA,0,0
"COK","P",NA,0,0
"COK","T",NA,0,0
"COK","TB",NA,0,0
"COL","D",3.00512195447302e-05,13881631.95,417.159969368591
"COL","P",0.00108916750322912,13881631.95,15119.4224117271
"COL","T",0.000156525560035891,13881631.95,2172.83021518587
"COL","TB",0.000101307372816013,13992095.88,1417.50247379256
"COM","D",0.000247602576144429,366770.72,90.8133751263472
"COM","P",0.00778239153242207,366770.72,2854.35334566835
"COM","T",0.000698136013339216,366770.72,256.055848270354
"COM","TB",0.00213578406958102,381950.38,815.763536974415
"CPV","D",5.75640113737882e-05,207444.61,11.9413438894711
"CPV","P",0.00187185649983856,207444.61,388.306541584975
"CPV","T",0.000240556529168376,207444.61,49.9021553762874
"CPV","TB",0.000219391274037411,214063.96,46.9637649098934
"CRI","D",2.13977068139399e-05,1307114.35,27.9692496335936
"CRI","P",0.000768910160820249,1307114.35,1005.05350506896
"CRI","T",0.000107284187403311,1307114.35,140.232700882957
"CRI","TB",6.31520512944373e-05,1233661.05,77.9082259095494
"CUB","D",1.70242111969836e-05,2442441.24,41.5806355059826
"CUB","P",0.000493248564962416,2442441.24,1204.73063663502
"CUB","T",8.6041262186809e-05,2442441.24,210.150727106715
"CUB","TB",3.89574148831748e-05,2547499.68,99.2440019485151
"CYP","D",6.23947161297288e-06,241837.51,1.50893827859705
"CYP","P",0.00024705596868848,241837.51,59.74740029826
"CYP","T",3.03173614471512e-05,241837.51,7.33187520214904
"CYP","TB",NA,0,0
"CZE","D",9.35595409116977e-06,2045843.3,19.1408159925273
"CZE","P",0.000289903891433488,2045843.3,593.097933933129
"CZE","T",4.27735941592577e-05,2045843.3,87.5080710276365
"CZE","TB",2.9289307155359e-05,1001235.76,29.3255017095693
"DEU","D",7.94965821712668e-06,13554067.22,107.75020185096
"DEU","P",0.000280710849744391,13554067.22,3804.77372681879
"DEU","T",3.71881833939919e-05,13554067.22,504.051137511854
"DEU","TB",NA,0,0
"DJI","D",0.000115032049336062,306824.66,35.2946694266406
"DJI","P",0.00598343673890299,306824.66,1835.86594304542
"DJI","T",0.000440072840268084,306824.66,135.025199590489
"DJI","TB",0.00141869049284245,325672.87,462.029004445714
"DMA","D",NA,0,0
"DMA","P",NA,0,0
"DMA","T",NA,0,0
"DMA","TB",NA,0,0
"DNK","D",7.74335282565592e-06,1153494.22,8.93191272781477
"DNK","P",0.000272245086944598,1153494.22,314.033134213991
"DNK","T",3.33193465600583e-05,1153494.22,38.4336736712041
"DNK","TB",NA,0,0
"DOM","D",8.03128006426824e-05,3383925.42,271.772527646165
"DOM","P",0.00222158407319868,3383925.42,7517.67481796416
"DOM","T",0.000278391456482181,3383925.42,942.055926300877
"DOM","TB",0.000291826080355282,3889141.23,1134.95284109902
"DZA","D",4.70563256855021e-05,14950067.34,703.495237771229
"DZA","P",0.00184842469317109,14950067.34,27634.0736358267
"DZA","T",0.000192998881714965,14950067.34,2885.34627818342
"DZA","TB",0.000202895413552597,16005143.66,3247.37024186442
"ECU","D",8.004015057748e-05,5635346.75,451.054002426312
"ECU","P",0.00242775101371279,5635346.75,13681.2187849356
"ECU","T",0.000283180933444485,5635346.75,1595.82275294834
"ECU","TB",0.000341796614397263,6045803.37,2066.43512317756
"EGY","D",0.000109729382379776,41811055.44,4587.90129007777
"EGY","P",0.00348963603743731,41811055.44,145905.365826713
"EGY","T",0.000309248997377794,41811055.44,12930.0269741274
"EGY","TB",0.000540888007740081,42002487.56,22718.641816456
"ERI","D",0.000425256654781676,1812983.15,770.983149544545
"ERI","P",0.00890245382217185,1812983.15,16139.9987732507
"ERI","T",0.000946248055343924,1812983.15,1715.5317800588
"ERI","TB",0.00254577618158545,1865723.66,4749.71485504843
"ESP","D",2.71286609176595e-06,8560253.21,23.2228206703396
"ESP","P",0.000117095175809136,8560253.21,1002.36435459567
"ESP","T",2.11004273283977e-05,8560253.21,180.625000770288
"ESP","TB",NA,0,0
"EST","D",1.92707091426233e-05,266004.84,5.12610190217004
"EST","P",0.000603642848014575,266004.84,160.571919203261
"EST","T",7.40765170934956e-05,266004.84,19.7047120772126
"EST","TB",5.79011252762018e-05,275064.99,15.9265724450872
"ETH","D",9.91492714873511e-05,32673565.62,3239.56022811716
"ETH","P",0.00494400088179466,32673565.62,161538.137236656
"ETH","T",0.000454193285191882,32673565.62,14840.1141078803
"ETH","TB",0.00105197827409692,40882104.16,43007.0853756874
"FIN","D",5.12844222179427e-06,1107056.65,5.67747606577812
"FIN","P",0.000182381355332776,1107056.65,201.906492257163
"FIN","T",3.00510338942876e-05,1107056.65,33.2681969120465
"FIN","TB",1.69968376821166e-05,381446.29,6.48338067557557
"FJI","D",0.000374155455388141,363137.05,135.869708311056
"FJI","P",0.00772063635939602,363137.05,2803.64911167381
"FJI","T",0.000674823206055168,363137.05,245.053308318416
"FJI","TB",0.0019639750282274,367883.51,722.514026936644
"FRA","D",4.84763554766277e-06,15086034.58,73.1315975032777
"FRA","P",0.000190640953035386,15086034.58,2876.016009856
"FRA","T",2.898447160866e-05,15086034.58,437.260740971273
"FRA","TB",1.53542531710942e-05,5161328.54,79.2483451023538
"FSM","D",0.000256981028310211,41714.62,10.7198659431697
"FSM","P",0.00635662879947569,41714.62,265.164354851184
"FSM","T",0.0005971108594068,41714.62,24.9082525980281
"FSM","TB",0.00139932356999249,34886.85,48.8179914877926
"GAB","D",0.000352766152526848,682862.28,240.890699221311
"GAB","P",0.0115300098587367,682862.28,7873.40882055944
"GAB","T",0.000713511180439435,682862.28,487.229871480364
"GAB","TB",0.00391690139314448,942546.58,3691.86201230556
"GBR","D",6.30433198390142e-06,14164303.85,89.296473791253
"GBR","P",0.000241102894031287,14164303.85,3415.05465017351
"GBR","T",3.3108079976159e-05,14164303.85,468.952904672417
"GBR","TB",NA,0,0
"GEO","D",5.30882427807021e-05,966125.19,51.2898886432719
"GEO","P",0.0014164847721269,966125.19,1368.50161960321
"GEO","T",0.000167772550260282,966125.19,162.089286997
"GEO","TB",0.000175691590709986,1027414.38,180.508066740514
"GHA","D",0.000144523430402617,13501217.89,1951.24232407598
"GHA","P",0.00840693846643959,13501217.89,113503.908023223
"GHA","T",0.00047736484171681,13501217.89,6445.00674104402
"GHA","TB",0.00222618624280046,14541017.73,32371.0136268435
"GIN","D",9.6130634274064e-05,3994541.49,383.997807067765
"GIN","P",0.00545611426002533,3994541.49,21794.6747858519
"GIN","T",0.000438260685591959,3994541.49,1750.65049203293
"GIN","TB",0.00142597996633182,5863613.41,8361.39525297463
"GMB","D",8.09273231592075e-05,1269408.7,102.72984808601
"GMB","P",0.00551820869642833,1269408.7,7004.86212766178
"GMB","T",0.000382251970556473,1269408.7,485.233977016531
"GMB","TB",0.00120564182070573,1305788.37,1574.31306786317
"GNB","D",0.000140764863878523,831946.58,117.108847087902
"GNB","P",0.0076721669408315,831946.58,6382.83304761383
"GNB","T",0.00052599550968389,831946.58,437.60016537687
"GNB","TB",0.00217497814112134,962734.64,2093.92679770033
"GNQ","D",0.000190941134657,309205.91,59.0401272980502
"GNQ","P",0.0101544219832544,309205.91,3139.80728985619
"GNQ","T",0.000482291572933381,309205.91,149.127404694197
"GNQ","TB",0.00361712065580577,491006.63,1776.03022351058
"GRC","D",4.16684848012265e-06,1936574.19,8.06941122024624
"GRC","P",0.000158184199850819,1936574.19,306.335438696898
"GRC","T",2.6645298809584e-05,1936574.19,51.6005979594782
"GRC","TB",NA,0,0
"GRD","D",9.09704955585554e-05,36742.65,3.34249707863456
"GRD","P",0.00196155512439411,36742.65,72.0727333913192
"GRD","T",0.000256455309490899,36742.65,9.42284767726577
"GRD","TB",NA,0,0
"GTM","D",9.45715052893789e-05,6804891.81,643.548861803066
"GTM","P",0.00271279467768645,6804891.81,18460.2742844001
"GTM","T",0.000352320144164661,6804891.81,2397.50046352412
"GTM","TB",0.000388000383223896,7378239.69,2862.75982723776
"GUY","D",0.000236122136194064,294289.78,69.4883315136811
"GUY","P",0.00625873288283425,294289.78,1841.88112316806
"GUY","T",0.000578118666837752,294289.78,170.134415277575
"GUY","TB",0.00138644558127914,302256.17,419.061731310858
"HND","D",9.1823510013333e-05,3914293.64,359.424181247666
"HND","P",0.00323839291082057,3914293.64,12676.0207746461
"HND","T",0.000386397400875394,3914293.64,1512.47288875909
"HND","TB",0.000474643706885506,3981736.04,1889.90595386521
"HRV","D",7.76647878083979e-06,784995.58,6.09665151512303
"HRV","P",0.000279584916861003,784995.58,219.472923970555
"HRV","T",4.17234117327237e-05,784995.58,32.7526937927082
"HRV","TB",1.80119447450795e-05,814042.97,14.6624969957604
"HTI","D",0.000147870642725633,3071684.12,454.211905074521
"HTI","P",0.00874154672178058,3071684.12,26851.2702495315
"HTI","T",0.000530813808457924,3071684.12,1630.49234611693
"HTI","TB",0.00283132507853577,4005944.69,11342.1316640242
"HUN","D",1.36815104384261e-05,1838727,25.1565626439159
"HUN","P",0.000434135821142692,1838727,798.257256002239
"HUN","T",5.7115638335709e-05,1838727,105.020066330103
"HUN","TB",3.47613164465955e-05,1838727,63.9165711058992
"IDN","D",0.000373627959005759,73645555.34,27516.0385315298
"IDN","P",0.00789871281357947,73645555.34,581705.091627234
"IDN","T",0.000680697914357722,73645555.34,50130.3759216542
"IDN","TB",0.0021210942882379,80342350.07,170413.699837087
"IND","D",0.000278586189605909,369676725.36,102986.830304032
"IND","P",0.00674694288728291,369676725.36,2494187.75276169
"IND","T",0.000643626334821679,369676725.36,237933.675812337
"IND","TB",0.00176377113881539,426704430.09,752608.95859741
"IRL","D",4.47193526055731e-06,1208439.35,5.40406253950996
"IRL","P",0.000180153596847743,1208439.35,217.704695474848
"IRL","T",2.67734652147273e-05,1208439.35,32.3541089013327
"IRL","TB",1.2257963580152e-05,586681.28,7.19151776339696
"IRN","D",2.83108153907005e-05,26202285.94,741.808080061687
"IRN","P",0.0011302201177178,26202285.94,29614.3506995821
"IRN","T",0.000123625064763435,26202285.94,3239.25929628254
"IRN","TB",0.000101880756958304,26209326.96,2670.22607005248
"IRQ","D",7.79045424708525e-05,14278075.9,1112.32697035361
"IRQ","P",0.00276288626732442,14278075.9,39448.6998279258
"IRQ","T",0.000288257886643899,14278075.9,4115.76798427519
"IRQ","TB",0.000392372443234625,18065961.97,7088.58563755271
"ISL","D",3.84314618522913e-06,81434.26,0.312963765665957
"ISL","P",0.000151693470542774,81434.26,12.3530455204826
"ISL","T",2.4575884592636e-05,81434.26,2.00131897564672
"ISL","TB",NA,0,0
"ISR","D",7.71912969964999e-06,2862689.61,22.0974723894304
"ISR","P",0.000275291350097141,2862689.61,788.073687645959
"ISR","T",3.87816902891304e-05,2862689.61,111.019941848931
"ISR","TB",NA,0,0
"ITA","D",2.85922952157218e-06,10070950.56,28.7951591514459
"ITA","P",0.000118867480128143,10070950.56,1197.10851556231
"ITA","T",2.09556524430498e-05,10070950.56,211.043339706498
"ITA","TB",NA,0,0
"JAM","D",6.96952604361614e-05,926996.71,64.6072771269148
"JAM","P",0.00198190854530785,926996.71,1837.22270102126
"JAM","T",0.00023671950573381,926996.71,219.438203008068
"JAM","TB",0.000247625263093817,910501.37,225.463141293531
"JOR","D",5.02134444198322e-05,3767020.4,189.155069483774
"JOR","P",0.00178912496792402,3767020.4,6739.67025231913
"JOR","T",0.000180630325032009,3767020.4,680.438119254207
"JOR","TB",0.000173498650810293,3181660.25,552.01376071174
"JPN","D",6.59741164609248e-06,20954370.26,138.244606389858
"JPN","P",0.000247064024229364,20954370.26,5177.0710416277
"JPN","T",3.3819704180243e-05,20954370.26,708.670603476482
"JPN","TB",1.14479907950095e-05,12919921.09,147.907137710569
"KAZ","D",7.53107468312192e-05,6300195.44,474.472423769042
"KAZ","P",0.002519560167084,6300195.44,15873.7214754682
"KAZ","T",0.000216582508226079,6300195.44,1364.51213070971
"KAZ","TB",0.00036316654135996,6116056.84,2221.14720934373
"KEN","D",0.000300268617012406,23265304.02,6985.84066245858
"KEN","P",0.00807689762291021,23265304.02,187911.478735421
"KEN","T",0.000721460285530545,23265304.02,16784.9928812241
"KEN","TB",0.00221612866915134,25321473.55,56115.6434793125
"KGZ","D",5.90661648985935e-05,2527115.26,149.267006664912
"KGZ","P",0.00198107912493443,2527115.26,5006.41528788924
"KGZ","T",0.00021554752381703,2527115.26,544.713436693231
"KGZ","TB",0.000240735889446442,2571298.06,619.003725506011
"KHM","D",0.00012606269708148,5723641.61,721.537698484386
"KHM","P",0.00409410930521118,5723641.61,23433.2143751949
"KHM","T",0.000455336844727419,5723641.61,2606.18491104797
"KHM","TB",0.000749099150308566,6207969.35,4650.38456522662
"KIR","D",0.00068548062368818,45742.9,31.3558716213061
"KIR","P",0.0135341742680377,45742.9,619.092380125423
"KIR","T",0.00115595412666655,45742.9,52.8766940206954
"KIR","TB",0.00492271849813633,45183.39,222.425109761508
"KNA","D",NA,0,0
"KNA","P",NA,0,0
"KNA","T",NA,0,0
"KNA","TB",NA,0,0
"KOR","D",1.04533809427668e-05,8651235.13,90.4346564393367
"KOR","P",0.000365667783856871,8651235.13,3163.47797761181
"KOR","T",4.40213244102754e-05,8651235.13,380.838828207301
"KOR","TB",2.76597069414746e-05,8449026.65,233.697601079709
"KWT","D",2.57556793575795e-05,1052019.69,27.0954818135001
"KWT","P",0.000855015808712546,1052019.69,899.493466026871
"KWT","T",9.70503556077294e-05,1052019.69,102.098885020833
"KWT","TB",6.40372437493284e-05,785221.77,50.2834378827691
"LAO","D",0.000249592985674087,2044062.31,510.183614856772
"LAO","P",0.00646895315024789,2044062.31,13222.9433195775
"LAO","T",0.000647374657055564,2044062.31,1323.27413693645
"LAO","TB",0.00170207517833851,2257217.65,3841.95413417259
"LBN","D",1.31430301105877e-05,1515128.19,19.9133754225703
"LBN","P",0.000530333393806141,1515128.19,803.523075054056
"LBN","T",7.38172569982875e-05,1515128.19,111.84260698658
"LBN","TB",NA,0,0
"LBR","D",0.000126440433308108,1753848.42,221.757354181541
"LBR","P",0.00456304946811207,1753848.42,8002.8971000302
"LBR","T",0.000494404662405813,1753848.42,867.110836001068
"LBR","TB",0.000900198362862581,2107028.4,1896.74351618496
"LBY","D",7.51053044581005e-05,2379539.03,178.716003318083
"LBY","P",0.00216623065772879,2379539.03,5154.63039804822
"LBY","T",0.000250492154156234,2379539.03,596.055857523535
"LBY","TB",0.000290816347897925,2436498.69,708.57365068388
"LCA","D",7.61501838220598e-05,42611.83,3.24489868749436
"LCA","P",0.00203412827798454,42611.83,86.6779283796701
"LCA","T",0.000247530307304124,42611.83,10.5477193746911
"LCA","TB",0.000264848558156272,44583.33,11.8078306683053
"LKA","D",4.44915655300685e-05,6899840.29,306.984696409542
"LKA","P",0.00114506681959711,6899840.29,7900.7781765983
"LKA","T",0.000159154245636311,6899840.29,1098.13887636597
"LKA","TB",0.00013513614169645,6925507.68,935.886387164331
"LSO","D",0.000230137325510045,966284.83,222.378206457129
"LSO","P",0.00979075557765531,966284.83,9460.65858892622
"LSO","T",0.000587360098601045,966284.83,567.557153025494
"LSO","TB",0.00360640389689015,1023995.51,3692.94139766202
"LTU","D",3.69529045633133e-05,573886.96,21.20679006301
"LTU","P",0.000955646768602569,573886.96,548.433218867152
"LTU","T",0.000111528274133542,573886.96,64.0046221965452
"LTU","TB",0.000113966790429968,600133.57,68.3952968021785
"LUX","D",5.91618960053383e-06,115720.79,0.68462613436356
"LUX","P",0.00023623619063046,115720.79,27.3374386063474
"LUX","T",2.95569249398946e-05,115720.79,3.42035070401531
"LUX","TB",NA,0,0
"LVA","D",3.84550034221908e-05,419794.61,16.1432031641673
"LVA","P",0.00120298852302989,419794.61,505.008097859807
"LVA","T",0.000120608370008804,419794.61,50.6307436505815
"LVA","TB",0.000132068095913384,419531.06,55.4066682707236
"MAR","D",7.41248505223517e-05,12836290.33,951.488101972759
"MAR","P",0.00237318297005842,12836290.33,30462.8656098816
"MAR","T",0.000267130178522292,12836290.33,3428.96052741688
"MAR","TB",0.000306165502700264,12785600.13,3914.50969112601
"MCO","D",NA,0,0
"MCO","P",NA,0,0
"MCO","T",NA,0,0
"MCO","TB",NA,0,0
"MDA","D",4.39834052848403e-05,802274.92,35.2867829562228
"MDA","P",0.00153653933930595,802274.92,1232.72697551853
"MDA","T",0.000159792116865573,802274.92,128.197207774958
"MDA","TB",0.000168823007718108,846537.35,142.914981572717
"MDG","D",0.00027080506401769,10442094.2,2827.77198830975
"MDG","P",0.00847135097697138,10442094.2,88458.6449027972
"MDG","T",0.000785274359443091,10442094.2,8199.90883414941
"MDG","TB",0.00232966614800512,11031117.76,25698.8216201301
"MDV","D",1.64892126872994e-05,130888.06,2.158241059568
"MDV","P",0.000635981154851967,130888.06,83.2423395551335
"MDV","T",9.8880468739088e-05,130888.06,12.9422727251499
"MDV","TB",5.07541769194132e-05,131423.24,6.6702783742825
"MEX","D",5.24114838819704e-05,42224721.9,2213.06033128253
"MEX","P",0.00157977571214104,42224721.9,66705.5901095299
"MEX","T",0.000201045569139251,42224721.9,8489.09324613209
"MEX","TB",0.000183185832714244,43763436.83,8016.84161814077
"MHL","D",NA,0,0
"MHL","P",NA,0,0
"MHL","T",NA,0,0
"MHL","TB",NA,0,0
"MKD","D",2.27392598726788e-05,445974,10.1411186824581
"MKD","P",0.000673597494943405,445974,300.40696920989
"MKD","T",8.69021900672989e-05,445974,38.7561173130735
"MKD","TB",6.08272829129988e-05,451005.2,27.4334208956336
"MLI","D",3.12471944351671e-05,8539415.12,266.832764617246
"MLI","P",0.00277272260076703,8539415.12,23677.4293005557
"MLI","T",0.000234151986448735,8539415.12,1999.52101345836
"MLI","TB",0.000512610552752704,9833549.63,5040.78131135545
"MLT","D",5.71479616636938e-06,76188.72,0.43540300497659
"MLT","P",0.000221080315010065,76188.72,16.8438262178136
"MLT","T",3.38624770241909e-05,76188.72,2.57993878050252
"MLT","TB",NA,0,0
"MMR","D",0.000178904212507155,16543286.91,2959.66371691348
"MMR","P",0.00603945519817585,16543286.91,99912.4401235139
"MMR","T",0.000562324935162911,16543286.91,9302.70273904718
"MMR","TB",0.00143334764316039,17191121.44,24640.853399308
"MNE","D",1.3421865176857e-05,97201.11,1.30462019346085
"MNE","P",0.000389563296294865,97201.11,37.8659848151198
"MNE","T",5.23358028866167e-05,97201.11,5.08709813332034
"MNE","TB",2.93732380297474e-05,99489.31,2.92232318404533
"MNG","D",0.000135568389780795,1213297.48,164.484785688697
"MNG","P",0.00391535085331209,1213297.48,4750.48532363941
"MNG","T",0.00035401507783639,1213297.48,429.525601820896
"MNG","TB",0.000662372536987032,1223782.36,810.599826513177
"MOZ","D",0.000139698459857728,14289425.92,1996.21079327509
"MOZ","P",0.00487255115654089,14289425.92,69625.9587928014
"MOZ","T",0.000556894071408387,14289425.92,7957.69657867733
"MOZ","TB",0.00105225796513072,16021110.88,16858.3415337224
"MRT","D",0.000125063296793439,1748178.44,218.632959089611
"MRT","P",0.00487344602544481,1748178.44,8519.6532701863
"MRT","T",0.000442968382328016,1748178.44,774.387775587515
"MRT","TB",0.00112919065861942,2102893.03,2374.56716555188
"MUS","D",4.64973447575432e-05,301151.28,14.0027348903354
"MUS","P",0.00139777629186651,301151.28,420.942119449252
