"decade","mean","lower","upper"
"2001-2010",9056976.23637892,7082641.72059525,11187884.9669547
"2011-2020",15755701.0206995,14397003.5771131,17213886.3220664
"2021-2030",24725541.8352916,22884872.5428503,26675494.3964485
"2001-2030",50073304.6764947,46798195.6375891,53433226.3908194
