location_name,nx,BCG,D,HPV,HepB,Hib,JE,Measles,MenA,P,PCV,Rota,Rubella,T,YF
Senegal,524315,0.99,0.94,0,0.94,0.94,0,1,0.486543322,0.94,0.93,0.94,1,0.94,0.87
Italy,438877,0,0.97,0.990591427,0.97,0.96,0,0.94,0,0.97,0.92,0.61,0.94,0.97,0
Guinea,434646,0.93,0.64,0,0.64,0.64,0,1,0.305019971,0.64,0,0,0,0.64,0.781525133
Guatemala,419768,0.99,0.96,0,0.95,0.96,0,0.994151988,0,0.96,0.8761,0.8794,0.994151988,0.96,0
Venezuela (Bolivarian Republic of),419422,0.99,0.87,0,0.81,0.87,0,0.98,0,0.87,0.3497,0.84,0.98,0.87,0.94
Burundi,416768,0.99,0.99,0,0.99,0.99,0,0.99995736,1,0.99,0.96,0.96,0.904095608,0.99,0
Syrian Arab Republic,400530,0.97,0.84,0,0.84,0.84,0,1,0,0.84,0,0,1,0.84,0
Canada,396176,0,0.95,0.999893489,0.74,0.95,0,0.96,0.9868,0.95,0.81,0.79,0.96,0.95,0
Rwanda,395430,0.99,0.99,0.99,0.99,0.99,0,1,0,0.99,0.98,0.9811,1,0.99,0
Benin,393528,0.97,0.82,0,0.82,0.82,0,1,0.415302648,0.82,0.753,0,0,0.82,0.920015389
Zimbabwe,389104,0.99,0.95,0,0.97,0.97,0,1,0,0.95,0.95,0.9166,0.992351674,0.95,0
Spain,389071,0,0.98,0.999884355,0.97,0.98,0,0.98,0,0.98,0.95,0,0.98,0.98,0
Poland,383462,0.94,0.99,0,0.99,0.99,0,0.99,0,0.99,0.6,0,0.99,0.99,0
Ukraine,379823,0.98,0.99,0,0.985,0.83,0,0.99,0,0.99,0,0,0.99,0.99,0
Kazakhstan,365332,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0.98,0,0.99,0.99,0
Democratic People's Republic of Korea,356211,0.98,0.97,0,0.985,0.9726,0,0.998564471,0,0.97,0,0,0,0.97,0
South Sudan,353708,0.75,0.63,0,0.5218,0.5219,0,1,0.66258462,0.63,0,0,0,0.63,0
Cambodia,353263,0.99,0.94,0,0.91,0.93,0.946359475,1,0,0.94,0.87,0,1,0.94,0
Sri Lanka,336646,0.99,0.99,0.4194,0.99,0.99,0.995,1,0,0.99,0,0,0.99,0.99,0
