"income_group","2001-2010","2011-2020","2021-2030"
"High income","2 (1.7-2.4)","2.1 (1.6-2.9)","2.3 (1.7-3.1)"
"Low income","4.8 (4.4-5.3)","8.4 (7.6-9.1)","13 (11-16.4)"
"Lower middle income","12.5 (10.8-14.7)","17.9 (15.7-20.8)","24.8 (20.7-31.5)"
"Upper middle income","10.4 (9.4-12)","11.8 (10.3-14.1)","11.5 (9.8-14.8)"
