"income_group","mean","lower","upper","column_text","percent"
"Low income",12986430.5575076,10990482.0464185,16422442.0579851,"13 (11-16.4)",25.2
"Upper middle income",11535155.0065301,9788179.09949584,14807715.8817472,"11.5 (9.8-14.8)",22.4
"Lower middle income",24766461.5192831,20684412.6719467,31509452.6858084,"24.8 (20.7-31.5)",48
"High income",2260414.74614308,1700788.66617161,3085339.50576445,"2.3 (1.7-3.1)",4.4
