"region","2001-2010","2011-2020","2021-2030"
"AFRO","8.8 (7.9-9.9)","14.4 (13-16.1)","23 (18.9-29.1)"
"EMRO","3.1 (2.8-3.4)","4.4 (4-4.9)","5.6 (5-6.3)"
"EURO","1.8 (1.6-2.2)","2.1 (1.8-2.7)","2 (1.7-2.6)"
"PAHO","3.5 (3.1-4.2)","3.6 (2.9-5.5)","3.6 (2.9-5)"
"SEARO","6.4 (5.3-7.9)","8.5 (7.1-10.3)","10.5 (8.6-14)"
"WPRO","6.2 (5.6-7)","7.1 (6.3-8.2)","6.8 (5.9-8.3)"
