"region","mean","lower","upper","column_text","percent"
"EMRO",5614680.00776972,4994933.05092251,6270660.37829635,"5.6 (5-6.3)",10.9
"EURO",2014737.58745558,1683459.65070118,2565551.54784449,"2 (1.7-2.6)",3.9
"AFRO",22973168.9486684,18930113.4276511,29084631.1880937,"23 (18.9-29.1)",44.6
"PAHO",3619843.1463117,2894231.00772385,5035269.10506294,"3.6 (2.9-5)",7
"WPRO",6830272.23016134,5899195.12619223,8300535.13210258,"6.8 (5.9-8.3)",13.3
"SEARO",10495759.9090972,8587644.03078204,13998729.2411249,"10.5 (8.6-14)",20.4
