"gavi73","2001-2010","2011-2020","2021-2030"
0,"12.5 (11.2-14.3)","13.9 (12.1-16.6)","13.6 (11.6-17.1)"
1,"17.2 (15.1-20.1)","26.3 (23.4-30.1)","37.9 (31.8-47.4)"
