location_id,location_name,location_iso3,gbd_alt_name,wpp_name,wpp_location_code,region
104,Malaysia,MYS,Malaysia,Malaysia,458,WPRO
105,Maldives,MDV,Maldives,Maldives,462,SEARO
106,Mali,MLI,Mali,Mali,466,AFRO
107,Malta,MLT,Malta,Malta,470,EURO
108,Marshall Islands,MHL,Marshall Islands,NA,NA,WPRO
109,Mauritania,MRT,Mauritania,Mauritania,478,AFRO
110,Mauritius,MUS,Mauritius,Mauritius,480,AFRO
111,Mexico,MEX,Mexico,Mexico,484,PAHO
112,Micronesia (Federated States of),FSM,Federated States of Micronesia,Micronesia (Fed. States of),583,WPRO
113,Monaco,MCO,Monaco,NA,NA,EURO
114,Mongolia,MNG,Mongolia,Mongolia,496,WPRO
115,Montenegro,MNE,Montenegro,Montenegro,499,EURO
116,Morocco,MAR,Morocco,Morocco,504,EMRO
117,Mozambique,MOZ,Mozambique,Mozambique,508,AFRO
118,Myanmar,MMR,Myanmar,Myanmar,104,SEARO
119,Namibia,NAM,Namibia,Namibia,516,AFRO
120,Nauru,NRU,Nauru,NA,NA,WPRO
121,Nepal,NPL,Nepal,Nepal,524,SEARO
122,Netherlands,NLD,Netherlands,Netherlands,528,EURO
123,New Zealand,NZL,New Zealand,New Zealand,554,WPRO
124,Nicaragua,NIC,Nicaragua,Nicaragua,558,PAHO
125,Niger,NER,Niger,Niger,562,AFRO
126,Nigeria,NGA,Nigeria,Nigeria,566,AFRO
127,Niue,NIU,Niue,NA,NA,WPRO
128,North Macedonia,MKD,North Macedonia,North Macedonia,807,EURO
129,Norway,NOR,Norway,Norway,578,EURO
130,Oman,OMN,Oman,Oman,512,EMRO
131,Pakistan,PAK,Pakistan,Pakistan,586,EMRO
132,Palau,PLW,Palau,NA,NA,WPRO
133,Panama,PAN,Panama,Panama,591,PAHO
134,Papua New Guinea,PNG,Papua New Guinea,Papua New Guinea,598,WPRO
135,Paraguay,PRY,Paraguay,Paraguay,600,PAHO
136,Peru,PER,Peru,Peru,604,PAHO
137,Philippines,PHL,Philippines,Philippines,608,WPRO
138,Poland,POL,Poland,Poland,616,EURO
139,Portugal,PRT,Portugal,Portugal,620,EURO
140,Qatar,QAT,Qatar,Qatar,634,WPRO
141,Republic of Korea,KOR,South Korea,Republic of Korea,410,EMRO
142,Republic of Moldova,MDA,Moldova,Republic of Moldova,498,EURO
143,Romania,ROU,Romania,Romania,642,EURO
144,Russian Federation,RUS,Russia,Russian Federation,643,EURO
145,Rwanda,RWA,Rwanda,Rwanda,646,AFRO
146,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,NA,NA,PAHO
147,Saint Lucia,LCA,Saint Lucia,Saint Lucia,662,PAHO
148,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,670,PAHO
149,Samoa,WSM,Samoa,Samoa,882,WPRO
150,San Marino,SMR,San Marino,NA,NA,EURO
151,Sao Tome and Principe,STP,São Tomé and PrÍncipe,Sao Tome and Principe,678,AFRO
152,Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia,682,EMRO
153,Senegal,SEN,Senegal,Senegal,686,AFRO
154,Serbia,SRB,Serbia,Serbia,688,EURO
155,Seychelles,SYC,Seychelles,Seychelles,690,AFRO
156,Sierra Leone,SLE,Sierra Leone,Sierra Leone,694,AFRO
157,Singapore,SGP,Singapore,Singapore,702,WPRO
158,Slovakia,SVK,Slovakia,Slovakia,703,EURO
159,Slovenia,SVN,Slovenia,Slovenia,705,EURO
160,Solomon Islands,SLB,Solomon Islands,Solomon Islands,90,WPRO
161,Somalia,SOM,Somalia,Somalia,706,EMRO
162,South Africa,ZAF,South Africa,South Africa,710,AFRO
163,South Sudan,SSD,South Sudan,South Sudan,728,EMRO
164,Spain,ESP,Spain,Spain,724,EURO
165,Sri Lanka,LKA,Sri Lanka,Sri Lanka,144,SEARO
166,Sudan,SDN,Sudan,Sudan,729,EMRO
167,Suriname,SUR,Suriname,Suriname,740,PAHO
168,Sweden,SWE,Sweden,Sweden,752,EURO
169,Switzerland,CHE,Switzerland,Switzerland,756,EURO
170,Syrian Arab Republic,SYR,Syria,Syrian Arab Republic,760,EMRO
171,Tajikistan,TJK,Tajikistan,Tajikistan,762,EURO
172,Thailand,THA,Thailand,Thailand,764,SEARO
173,Timor-Leste,TLS,Timor-Leste,Timor-Leste,626,SEARO
174,Togo,TGO,Togo,Togo,768,AFRO
175,Tonga,TON,Tonga,Tonga,776,WPRO
176,Trinidad and Tobago,TTO,Trinidad and Tobago,Trinidad and Tobago,780,PAHO
177,Tunisia,TUN,Tunisia,Tunisia,788,EMRO
178,Turkey,TUR,Turkey,Turkey,792,EURO
179,Turkmenistan,TKM,Turkmenistan,Turkmenistan,795,EURO
180,Tuvalu,TUV,Tuvalu,NA,NA,WPRO
181,Uganda,UGA,Uganda,Uganda,800,AFRO
182,Ukraine,UKR,Ukraine,Ukraine,804,EURO
183,United Arab Emirates,ARE,United Arab Emirates,United Arab Emirates,784,EMRO
184,United Kingdom,GBR,UK,United Kingdom,826,EURO
185,United Republic of Tanzania,TZA,Tanzania,United Republic of Tanzania,834,AFRO
186,United States of America,USA,USA,United States of America,840,PAHO
187,Uruguay,URY,Uruguay,Uruguay,858,PAHO
188,Uzbekistan,UZB,Uzbekistan,Uzbekistan,860,EURO
189,Vanuatu,VUT,Vanuatu,Vanuatu,548,WPRO
190,Venezuela (Bolivarian Republic of),VEN,Venezuela,Venezuela (Bolivarian Republic of),862,PAHO
191,Viet Nam,VNM,Vietnam,Viet Nam,704,WPRO
192,Yemen,YEM,Yemen,Yemen,887,EMRO
193,Zambia,ZMB,Zambia,Zambia,894,AFRO
194,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,716,AFRO
