disease,disease_name,source
HepB,Hepatitis B,vimc
HPV,Human papillomavirus,vimc
Rubella,Rubella,vimc
Rota,Rotavirus,vimc
Measles,Measles,vimc
PCV,Pneumococcal,vimc
Hib,Haemophilus influenzae type b,vimc
YF,Yellow Fever,vimc
MenA,Meningitis A,vimc
JE,Japanese encephalitis,vimc
D,Diphtheria,gbd
T,Tetanus,gbd
P,Pertussis,gbd
TB,Tuberculosis,gbd
