vaccine,wuenic_name
HepB,HepB3
HepB_BD,HepB_BD
Rubella,RCV1
Rota,RotaC
MCV1,MCV1
MCV2,MCV2
PCV3,PCV3
Hib3,Hib3
YF,YFV
DTP3,DTP3
BCG,BCG
