vaccine,wuenic_name
BCG,BCG
DTP3,DTPCV3
HepB_BD,HEPB_BD
HepB,HEPB3
Hib3,HIB3
MCV1,MCV1
MCV2,MCV2
PCV3,PCV3
Rubella,RCV1
Rota,ROTAC
YF,YFV
MenA,MEN_A_CONJ
JE,JAPENC
HPV,PRHPVC_F
