"location_iso3","year","disease","target_deaths_averted","observed_deaths_averted"
"AFG",2019,"D",183.547298372667,200.233416406546
"AFG",2020,"D",186.736621338872,198.053992329107
"AFG",2021,"D",190.590445311956,190.590445311956
"AFG",2022,"D",202.649275924615,204.068111872866
"AGO",2019,"D",152.13694815053,152.13694815053
"AGO",2020,"D",155.561906121422,139.186968634956
"AGO",2021,"D",159.097773494866,125.603505390684
"AGO",2022,"D",174.412753616946,119.670011554184
"ALB",2019,"D",0.454986796536896,0.454986796536896
"ALB",2020,"D",0.446666160465774,0.44215438106713
"ALB",2021,"D",0.443829936117614,0.43934680544976
"ALB",2022,"D",0.440523619336057,0.431624152278763
"ARE",2019,"D",19.7346822496609,19.7346822496609
"ARE",2020,"D",20.0459496757675,18.2235906143341
"ARE",2021,"D",20.0846278766446,19.4760027894736
"ARE",2022,"D",19.6575304944721,19.0618477522154
"ARG",2019,"D",26.6361356693992,25.7069681460481
"ARG",2020,"D",26.1336783485996,22.4871185790276
"ARG",2021,"D",25.1345019776163,23.6731937231038
"ARG",2022,"D",25.0737389045201,23.4332122399212
"ARM",2019,"D",1.15873005365406,1.15873005365406
"ARM",2020,"D",1.11674260632992,1.10460409973938
"ARM",2021,"D",1.07145173484132,1.08309794935046
"ARM",2022,"D",1.03294654133639,1.04283872576129
"ATG",2019,"D",0.0625138006817364,0.0625138006817364
"ATG",2020,"D",0.0668929400188326,0.0675970762295572
"ATG",2021,"D",0.0712086135684347,0.0689599205083789
"ATG",2022,"D",0.0713990109309172,0.0744052850753769
"AUS",2019,"D",1.30394800432414,1.30394800432414
"AUS",2020,"D",1.32583207324434,1.32583207324434
"AUS",2021,"D",1.2803342075813,1.2803342075813
"AUS",2022,"D",1.29098887041402,1.27575520723008
"AUT",2019,"D",0.400654124774286,0.400654124774286
"AUT",2020,"D",0.396865793321886,0.396865793321886
"AUT",2021,"D",0.397208456468334,0.401881497132667
"AUT",2022,"D",0.406545761600785,0.398663711017245
"AZE",2019,"D",12.3703725138729,12.3703725138729
"AZE",2020,"D",12.7403353162961,10.7073030849722
"AZE",2021,"D",11.4391688307444,10.8307024035772
"AZE",2022,"D",11.0440477286637,9.73919249862756
"BDI",2019,"D",23.9874559939952,23.9874559939952
"BDI",2020,"D",24.35882876103,24.35882876103
"BDI",2021,"D",24.5948435445474,24.8593042278221
"BDI",2022,"D",24.8104576591109,24.2100305233123
"BEL",2019,"D",0.708478833082721,0.701249457234938
"BEL",2020,"D",0.697169595875887,0.690055620407765
"BEL",2021,"D",0.689917323127377,0.689917323127377
"BEL",2022,"D",0.698928810552505,0.698928810552505
"BEN",2019,"D",19.241655649379,19.241655649379
"BEN",2020,"D",19.5574349369809,18.5280962560871
"BEN",2021,"D",19.8377786390729,19.8377786390729
"BEN",2022,"D",20.6625753171474,20.1346235563898
"BFA",2019,"D",30.3858541452749,30.3858541452749
"BFA",2020,"D",30.7382994980836,30.7382994980836
"BFA",2021,"D",31.0805653212893,31.0805653212893
"BFA",2022,"D",31.6030174990161,31.4659272677729
"BGD",2019,"D",358.686546443117,358.686546443117
"BGD",2020,"D",360.86679606996,360.86679606996
"BGD",2021,"D",359.510063984145,359.510063984144
"BGD",2022,"D",359.295222754613,359.295222754613
"BGR",2019,"D",2.01029289105268,2.03214390073803
"BGR",2020,"D",1.97302447115767,1.95157855299291
"BGR",2021,"D",1.91390011431293,1.85149032797664
"BGR",2022,"D",1.86968194688699,1.84121275839845
"BHR",2019,"D",0.800534684742757,0.800534684742757
"BHR",2020,"D",0.772430889423809,0.764628557207407
"BHR",2021,"D",0.705289767456349,0.698165628391133
"BHR",2022,"D",0.666637424305356,0.653170001592117
"BHS",2019,"D",0.705287602523926,0.729890658425923
"BHS",2020,"D",0.702996715984762,0.678473574729479
"BHS",2021,"D",0.706814860216702,0.706814860216702
"BHS",2022,"D",0.713250675411619,0.715960647562976
"BIH",2019,"D",0.458151803881182,0.458151803881182
"BIH",2020,"D",0.440403857887511,0.434370928327408
"BIH",2021,"D",0.424515638908028,0.44196148708233
"BIH",2022,"D",0.423327276834513,0.420168720086168
"BLR",2019,"D",1.81909712063993,1.81909712063993
"BLR",2020,"D",1.78120738087077,1.76303179535168
"BLR",2021,"D",1.74372673340759,1.74372673340759
"BLR",2022,"D",1.70453501623145,1.70196035702451
"BLZ",2019,"D",0.728528998981914,0.728528998981914
"BLZ",2020,"D",0.666696096390088,0.537438689947112
"BLZ",2021,"D",0.641046892351998,0.542927470053222
"BLZ",2022,"D",0.653230264270091,0.559911655088649
"BOL",2019,"D",20.100188231506,20.100188231506
"BOL",2020,"D",20.1247521460329,18.2464419457365
"BOL",2021,"D",20.1671307845138,18.8226553988796
"BOL",2022,"D",20.6390321047568,18.601051743139
"BRA",2019,"D",122.203785899474,117.181712506344
"BRA",2020,"D",118.792399677902,125.301572262993
"BRA",2021,"D",114.732769735801,106.874360849788
"BRA",2022,"D",116.304184418421,119.873918950093
"BRB",2019,"D",0.169205796680628,0.169205796680628
"BRB",2020,"D",0.169093776954259,0.159699678234578
"BRB",2021,"D",0.169093776954259,0.154063219002769
"BRB",2022,"D",0.17001775981584,0.16147145690665
"BRN",2019,"D",0.525663879178533,0.525663879178533
"BRN",2020,"D",0.513816561123568,0.513816561123568
"BRN",2021,"D",0.503348725307879,0.503348725307879
"BRN",2022,"D",0.494503809773693,0.494503809773693
"BTN",2019,"D",0.739074992922466,0.739074992922466
"BTN",2020,"D",0.69528275020114,0.680947023392869
"BTN",2021,"D",0.688379539525857,0.695476235809629
"BTN",2022,"D",0.683993124409272,0.691044599918646
"BWA",2019,"D",8.94551083837514,8.94551083837514
"BWA",2020,"D",8.96794220668021,8.96794220668021
"BWA",2021,"D",8.88698130783079,8.88698130783079
"BWA",2022,"D",8.81945280049145,7.97364854642533
"CAF",2019,"D",13.8674012958775,12.3921458388692
"CAF",2020,"D",14.2332745863019,12.719096438823
"CAF",2021,"D",14.7040265165758,13.1397683765145
"CAF",2022,"D",17.1675074060923,13.606288277068
"CAN",2019,"D",2.00719974267234,2.00719974267234
"CAN",2020,"D",2.00039194185329,2.02237427088464
"CAN",2021,"D",2.00016626889796,2.02214611800673
"CAN",2022,"D",2.02628451561444,2.03966499970368
"CHE",2019,"D",0.479554739908421,0.479554739908421
"CHE",2020,"D",0.470286207829309,0.470286207829309
"CHE",2021,"D",0.469607479789902,0.469607479789902
"CHE",2022,"D",0.485915525844327,0.485279421486697
"CHL",2019,"D",4.76021969339386,4.76021969339386
"CHL",2020,"D",4.81030583185798,4.65998377461242
"CHL",2021,"D",4.84571191618522,4.79523575039163
"CHL",2022,"D",4.87942088442728,4.87942088442728
"CHN",2019,"D",274.483646531248,274.483646531248
"CHN",2020,"D",259.179469135872,259.179469135872
"CHN",2021,"D",216.996056546326,216.996056546326
"CHN",2022,"D",192.88391857196,192.88391857196
"CIV",2019,"D",70.8253068306539,68.295831586702
"CIV",2020,"D",71.7777885920414,64.0873112428941
"CIV",2021,"D",72.9050887461848,65.9617469608338
"CIV",2022,"D",75.6581757254787,67.1323331038092
"CMR",2019,"D",57.4158208917101,57.4158208917101
"CMR",2020,"D",58.1717514837571,59.9082216773021
"CMR",2021,"D",58.7645362644509,60.5187015260763
"CMR",2022,"D",61.87664427055,60.3086259494605
"COD",2019,"D",187.189910938158,239.734447341852
"COD",2020,"D",191.921925367395,235.69359255645
"COD",2021,"D",196.788602097801,224.408055023809
"COD",2022,"D",216.277328178413,230.589204988213
"COG",2019,"D",63.8785703469088,63.8785703469088
"COG",2020,"D",64.0195116698137,59.1572702771696
"COG",2021,"D",64.589632405702,62.9544518384691
"COG",2022,"D",66.3655146928808,64.3397446658507
"COL",2019,"D",20.1250312681299,20.5625319478719
"COL",2020,"D",20.2603639302277,19.3794785419569
"COL",2021,"D",20.1817078681913,18.8655095289614
"COL",2022,"D",20.1775588771121,18.9968994710549
"COM",2019,"D",5.19584101936039,5.19584101936039
"COM",2020,"D",5.22040071888815,5.22040071888815
"COM",2021,"D",5.23369450120135,5.23369450120135
"COM",2022,"D",5.26353774906393,5.07618955046435
"CPV",2019,"D",0.555211797381552,0.555211797381552
"CPV",2020,"D",0.550183005347938,0.532989786430815
"CPV",2021,"D",0.546093657979944,0.529028231168071
"CPV",2022,"D",0.546339062192354,0.527636333373053
"CRI",2019,"D",1.38158038642895,1.38158038642895
"CRI",2020,"D",1.3203123325086,1.34810838161404
"CRI",2021,"D",1.25827182137226,1.23178188829074
"CRI",2022,"D",1.24082555955816,1.23723252614746
"CUB",2019,"D",1.96601549376686,1.96601549376686
"CUB",2020,"D",1.85034670393641,1.85034670393641
"CUB",2021,"D",1.77187462387658,1.77187462387658
"CUB",2022,"D",1.68519466087236,1.68519466087236
"CYP",2019,"D",0.0793121698822789,0.0793121698822789
"CYP",2020,"D",0.0795996847342047,0.0795996847342047
"CYP",2021,"D",0.0784795747902439,0.0784795747902439
"CYP",2022,"D",0.0769270684046711,0.0768263643916706
"CZE",2019,"D",1.01266461314528,1.01266461314528
"CZE",2020,"D",1.00651157637768,1.00651157637768
"CZE",2021,"D",0.969865614036145,0.939869770303069
"CZE",2022,"D",0.941959141970709,0.912826385002543
"DEU",2019,"D",5.78953439670439,5.66502828064623
"DEU",2020,"D",5.73284347604009,5.60955651956611
"DEU",2021,"D",5.64638760407239,5.52495991366223
"DEU",2022,"D",5.67233356356922,5.54326241177552
"DJI",2019,"D",2.29483186822977,2.29483186822977
"DJI",2020,"D",2.30920512279431,1.90169833641884
"DJI",2021,"D",2.31732063387497,1.60849314586615
"DJI",2022,"D",2.34144449544675,1.61270101823087
"DNK",2019,"D",0.456116158380058,0.456116158380058
"DNK",2020,"D",0.456063581014372,0.456063581014372
"DNK",2021,"D",0.462778461717724,0.462778461717724
"DNK",2022,"D",0.477719749179036,0.476027957870647
"DOM",2019,"D",14.8248330546079,14.8248330546079
"DOM",2020,"D",14.6293396509235,13.4787174311879
"DOM",2021,"D",14.4073277635949,13.5979273274379
"DOM",2022,"D",14.4137107527601,14.1379505989593
"DZA",2019,"D",42.4422454336423,41.0430505292366
"DZA",2020,"D",41.8498989942235,38.6306759946678
"DZA",2021,"D",41.0147560311651,36.5076399837843
"DZA",2022,"D",40.138158327634,33.8708100696386
"ECU",2019,"D",20.3062822496874,20.3062822496874
"ECU",2020,"D",20.2899540589696,16.7093739309161
"ECU",2021,"D",20.2087213101485,17.1179756980081
"ECU",2022,"D",20.4330602199138,16.6292537401881
"EGY",2019,"D",261.456133194651,261.456133194651
"EGY",2020,"D",255.520333227755,252.830645509568
"EGY",2021,"D",254.467062832168,257.145663493559
"EGY",2022,"D",254.040373908474,258.637486019822
"ERI",2019,"D",39.4071733773226,39.4071733773226
"ERI",2020,"D",39.8131871684754,39.8131871684754
"ERI",2021,"D",40.1682977380509,40.1682977380509
"ERI",2022,"D",40.9295708372025,40.8110519089206
"ESP",2019,"D",0.968818738691456,0.958726876830087
"ESP",2020,"D",0.937444116796252,0.917914031029663
"ESP",2021,"D",0.888036965474436,0.851035425246334
"ESP",2022,"D",0.942164716368439,0.911527238904462
"EST",2019,"D",0.252470763568976,0.252470763568976
"EST",2020,"D",0.247893777440512,0.247893777440512
"EST",2021,"D",0.244316362995275,0.241631567797525
"EST",2022,"D",0.24076625666952,0.223916004882711
"ETH",2019,"D",242.888648384387,239.368523045483
"ETH",2020,"D",250.671584612213,257.937427644451
"ETH",2021,"D",254.948696792054,240.169062195413
"ETH",2022,"D",268.521843247839,243.69953475229
"FIN",2019,"D",0.222460951283925,0.222460951283925
"FIN",2020,"D",0.213519204563694,0.211172839678378
"FIN",2021,"D",0.217145372205458,0.2123729464427
"FIN",2022,"D",0.220542841024291,0.219586151712076
"FJI",2019,"D",6.76560989873775,6.62893091088446
"FJI",2020,"D",6.68448925445505,6.68448925445505
"FJI",2021,"D",6.56966094519643,6.56966094519643
"FJI",2022,"D",6.50298644304626,6.50298644304626
"FRA",2019,"D",3.20140798930062,3.20140798930062
"FRA",2020,"D",3.16298213965225,3.16298213965225
"FRA",2021,"D",3.06891163889022,3.06891163889022
"FRA",2022,"D",3.05322391463629,3.05322391463629
"FSM",2019,"D",0.461023964788518,0.461023964788518
"FSM",2020,"D",0.460021738778109,0.489510311776705
"FSM",2021,"D",0.459019512767699,0.423710319477876
"FSM",2022,"D",0.4795441927404,0.408715476475975
"GAB",2019,"D",15.2762207456379,15.2762207456379
"GAB",2020,"D",15.287826752056,13.7590440768504
"GAB",2021,"D",15.273998318877,16.3649981987967
"GAB",2022,"D",15.7420285826457,13.1140111669551
"GBR",2019,"D",4.29789908457176,4.29789908457176
"GBR",2020,"D",4.16601025295234,4.16601025295234
"GBR",2021,"D",3.98599181836499,3.98599181836499
"GBR",2022,"D",3.98169393802952,3.9338517146055
"GEO",2019,"D",2.68672482888601,2.68672482888601
"GEO",2020,"D",2.50897052734824,2.34882347241112
"GEO",2021,"D",2.41744852032402,2.18599068327172
"GEO",2022,"D",2.49679420798406,2.25773944338984
"GHA",2019,"D",121.885658915739,121.885658915739
"GHA",2020,"D",122.595429380023,118.803818162084
"GHA",2021,"D",122.910571391422,124.177690684117
"GHA",2022,"D",123.738640079907,125.842710440162
"GIN",2019,"D",19.3303190040771,19.3303190040771
"GIN",2020,"D",19.5692834186746,19.5692834186746
"GIN",2021,"D",19.8058532191723,19.8058532191723
"GIN",2022,"D",22.3281893630594,20.0121966643352
"GMB",2019,"D",5.90772696155141,5.90772696155141
"GMB",2020,"D",5.95544171128608,5.75241528931042
"GMB",2021,"D",6.01426616394405,5.60420256185695
"GMB",2022,"D",6.12490394189166,5.46566064952101
"GNB",2019,"D",7.11642399932428,6.60810799937255
"GNB",2020,"D",7.16596760081497,6.31287621976557
"GNB",2021,"D",7.22638951098618,5.76390591947708
"GNB",2022,"D",7.37542513429125,6.40693811710647
"GNQ",2019,"D",4.73246074718297,4.73246074718297
"GNQ",2020,"D",4.77972058742193,4.77972058742193
"GNQ",2021,"D",4.81524136670217,4.81524136670217
"GNQ",2022,"D",5.36479320724219,4.8259684396472
"GRC",2019,"D",0.346688377166803,0.346688377166803
"GRC",2020,"D",0.337035455977751,0.337035455977751
"GRC",2021,"D",0.336528058838326,0.336528058838326
"GRC",2022,"D",0.328170444167805,0.328170444167805
"GRD",2019,"D",0.170398654640641,0.174102973219786
"GRD",2020,"D",0.16864110466645,0.131979994956352
"GRD",2021,"D",0.166548783268603,0.139394090344374
"GRD",2022,"D",0.164667070508829,0.137642908304872
"GTM",2019,"D",31.7802767663941,31.7802767663941
"GTM",2020,"D",30.8318853399006,30.1064292142559
"GTM",2021,"D",29.8977221963779,27.7872947472218
"GTM",2022,"D",29.6551604970965,27.2960667058725
"GUY",2019,"D",3.73666822359149,3.73666822359149
"GUY",2020,"D",3.80399136706314,3.80399136706314
"GUY",2021,"D",3.73666822359149,3.69892410012087
"GUY",2022,"D",3.73059043980586,3.69290770809065
"HND",2019,"D",16.9058109938099,17.1001306604054
"HND",2020,"D",16.9894521108459,15.6224846996284
"HND",2021,"D",17.0549590028894,15.0946188876148
"HND",2022,"D",17.2300160246771,15.3273235361012
"HRV",2019,"D",0.271527126578028,0.271527126578028
"HRV",2020,"D",0.266599295791585,0.266599295791585
"HRV",2021,"D",0.259897445922023,0.254367713030065
"HRV",2022,"D",0.252562111012678,0.246872439688252
"HTI",2019,"D",19.5930923180555,19.5930923180555
"HTI",2020,"D",19.6490495266757,19.6490495266757
"HTI",2021,"D",19.6210709223656,19.6210709223656
"HTI",2022,"D",21.5904184412962,19.510287715542
"HUN",2019,"D",1.25709671864776,1.25709671864776
"HUN",2020,"D",1.25361573194691,1.25361573194691
"HUN",2021,"D",1.26390970040078,1.26390970040078
"HUN",2022,"D",1.24536701248848,1.24536701248848
"IDN",2019,"D",1430.22641819199,1430.22641819199
"IDN",2020,"D",1422.07594844306,1288.23350623665
"IDN",2021,"D",1412.79488049017,1113.61478815108
"IDN",2022,"D",1415.24899992102,1404.33190831632
"IND",2019,"D",5970.70349133696,5970.70349133696
"IND",2020,"D",5832.51534736611,5447.95389589142
"IND",2021,"D",5730.68457880976,5352.83724394318
"IND",2022,"D",5753.38175704078,5854.32368717808
"IRL",2019,"D",0.258081197402601,0.258081197402601
"IRL",2020,"D",0.24928722615142,0.24928722615142
"IRL",2021,"D",0.251313370579274,0.251313370579274
"IRL",2022,"D",0.246996746594251,0.244056716512615
"IRN",2019,"D",40.8974137903699,40.8974137903699
"IRN",2020,"D",36.2784756654535,36.2784756654535
"IRN",2021,"D",34.4320943958153,34.0842954625242
"IRN",2022,"D",33.4462478214683,33.4462478214683
"IRQ",2019,"D",74.0247996541714,74.0247996541714
"IRQ",2020,"D",74.8738158227455,65.9602663200377
"IRQ",2021,"D",75.8559365764037,70.4376553923749
"IRQ",2022,"D",77.5813674219253,84.6977998772206
"ISL",2019,"D",0.0147934226108025,0.0149559876944377
"ISL",2020,"D",0.0155977931073709,0.0159406017470934
"ISL",2021,"D",0.0158321097302844,0.0160060889580897
"ISL",2022,"D",0.0160802242961369,0.0161864093771006
"ISR",2019,"D",1.32754503431885,1.32754503431885
"ISR",2020,"D",1.39293470830015,1.39293470830015
"ISR",2021,"D",1.32491250232608,1.32491250232608
"ISR",2022,"D",1.31742340269148,1.31742340269148
"ITA",2019,"D",1.17067349985509,1.18299637880094
"ITA",2020,"D",1.12710727667342,1.11524298955054
"ITA",2021,"D",1.11293650628008,1.10122138516134
"ITA",2022,"D",1.11729637370313,1.11406104125092
"JAM",2019,"D",2.26648986938397,2.26648986938397
"JAM",2020,"D",2.22688065897289,2.22688065897289
"JAM",2021,"D",2.20687533141729,2.06894562320371
"JAM",2022,"D",2.19322030139758,2.23598146608064
