"Year","Total deaths averted"
"2019 (baseline)",4195167.17622537
"2021",4384694.05300636
"2022",4560814.38220864
"2023",4704335.78646254
"2024",4844361.82247926
"2025",5032844.77753099
"2026",5183849.49460427
"2027",5365040.24808993
"2028",5518047.20708647
"2029",5650019.75606349
"2030",5765977.89204355
