"location_iso3","year","disease","target_deaths_averted","observed_deaths_averted"
"AFG",2019,"D",200.233416406546,200.233416406546
"AGO",2019,"D",152.13694815053,152.13694815053
"ALB",2019,"D",0.454986796536896,0.454986796536896
"ARE",2019,"D",19.7346822496609,19.7346822496609
"ARG",2019,"D",25.7069681460481,25.7069681460481
"ARM",2019,"D",1.15873005365406,1.15873005365406
"ATG",2019,"D",0.0625138006817364,0.0625138006817364
"AUS",2019,"D",1.30394800432414,1.30394800432414
"AUT",2019,"D",0.400654124774286,0.400654124774286
"AZE",2019,"D",12.3703725138729,12.3703725138729
"BDI",2019,"D",23.9874559939952,23.9874559939952
"BEL",2019,"D",0.701249457234938,0.701249457234938
"BEN",2019,"D",19.241655649379,19.241655649379
"BFA",2019,"D",30.3858541452749,30.3858541452749
"BGD",2019,"D",358.686546443117,358.686546443117
"BGR",2019,"D",2.03214390073803,2.03214390073803
"BHR",2019,"D",0.800534684742757,0.800534684742757
"BHS",2019,"D",0.729890658425923,0.729890658425923
"BIH",2019,"D",0.458151803881182,0.458151803881182
"BLR",2019,"D",1.81909712063993,1.81909712063993
"BLZ",2019,"D",0.728528998981914,0.728528998981914
"BOL",2019,"D",20.100188231506,20.100188231506
"BRA",2019,"D",117.181712506344,117.181712506344
"BRB",2019,"D",0.169205796680628,0.169205796680628
"BRN",2019,"D",0.525663879178533,0.525663879178533
"BTN",2019,"D",0.739074992922466,0.739074992922466
"BWA",2019,"D",8.94551083837514,8.94551083837514
"CAF",2019,"D",12.3921458388692,12.3921458388692
"CAN",2019,"D",2.00719974267234,2.00719974267234
"CHE",2019,"D",0.479554739908421,0.479554739908421
"CHL",2019,"D",4.76021969339386,4.76021969339386
"CHN",2019,"D",274.483646531248,274.483646531248
"CIV",2019,"D",68.295831586702,68.295831586702
"CMR",2019,"D",57.4158208917101,57.4158208917101
"COD",2019,"D",239.734447341852,239.734447341852
"COG",2019,"D",63.8785703469088,63.8785703469088
"COL",2019,"D",20.5625319478719,20.5625319478719
"COM",2019,"D",5.19584101936039,5.19584101936039
"CPV",2019,"D",0.555211797381552,0.555211797381552
"CRI",2019,"D",1.38158038642895,1.38158038642895
"CUB",2019,"D",1.96601549376686,1.96601549376686
"CYP",2019,"D",0.0793121698822789,0.0793121698822789
"CZE",2019,"D",1.01266461314528,1.01266461314528
"DEU",2019,"D",5.66502828064623,5.66502828064623
"DJI",2019,"D",2.29483186822977,2.29483186822977
"DNK",2019,"D",0.456116158380058,0.456116158380058
"DOM",2019,"D",14.8248330546079,14.8248330546079
"DZA",2019,"D",41.0430505292366,41.0430505292366
"ECU",2019,"D",20.3062822496874,20.3062822496874
"EGY",2019,"D",261.456133194651,261.456133194651
