"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"ARE",2021,"Rota","Rota",5.37172138638735,5.31333311044836,"EMRO","High income",0.91,98143
"ARE",2021,"D","DTP3",20.0846278766446,19.4760027894736,"EMRO","High income",0.96,98143
"ARE",2021,"P","DTP3",312.019026129022,302.563904125112,"EMRO","High income",0.96,98143
"ARE",2021,"T","DTP3",27.9868492569349,27.1387629158157,"EMRO","High income",0.96,98143
"ARE",2021,"TB","BCG",66.0272787472635,69.5393680423307,"EMRO","High income",0.99,98143
"ARE",2021,"Rubella","Rubella",338.320200076716,338.320200076716,"EMRO","High income",0.99,98143
"ARE",2022,"HPV","HPV",41.2622150993199,0,"EMRO","High income",0,46247
"ARE",2022,"HepB","HepB",869.323632709842,841.438789007952,"EMRO","High income",0.95,96056
"ARE",2022,"HepB","HepB_BD",590.286976497588,609.659080045036,"EMRO","High income",0.96,96056
"ARE",2022,"Hib","Hib3",18.6174346000554,18.0532699152053,"EMRO","High income",0.96,96056
"ARE",2022,"Measles","MCV1",295.723124659893,292.736022390601,"EMRO","High income",0.98,96056
"ARE",2022,"Measles","MCV2",50.576517446396,48.4046306221413,"EMRO","High income",0.91,96056
"ARE",2022,"PCV","PCV3",18.5078061610098,17.7600160130902,"EMRO","High income",0.95,96056
"ARE",2022,"Rota","Rota",5.35180692758434,5.20034567169566,"EMRO","High income",0.91,96056
"ARE",2022,"D","DTP3",19.6575304944721,19.0618477522154,"EMRO","High income",0.96,96056
"ARE",2022,"P","DTP3",305.383976176083,296.129916291959,"EMRO","High income",0.96,96056
"ARE",2022,"T","DTP3",27.3917120143478,26.5616601351252,"EMRO","High income",0.96,96056
"ARE",2022,"TB","BCG",65.367837393414,65.998178036925,"EMRO","High income",0.96,96056
"ARE",2022,"Rubella","Rubella",331.125858579512,327.781152937295,"EMRO","High income",0.98,96056
"ARG",2019,"HPV","HPV",970.272708400759,970.272708400759,"PAHO","Upper middle income",0.6,347240
"ARG",2019,"HepB","HepB",5128.78944689368,5128.78944689368,"PAHO","Upper middle income",0.83,668425
"ARG",2019,"HepB","HepB_BD",2125.83820487533,2125.83820487533,"PAHO","Upper middle income",0.77,668425
"ARG",2019,"Hib","Hib3",217.992031831973,217.992031831973,"PAHO","Upper middle income",0.83,668425
"ARG",2019,"Measles","MCV1",3199.16735055763,3199.16735055763,"PAHO","Upper middle income",0.86,668425
"ARG",2019,"Measles","MCV2",480.790228088952,480.790228088952,"PAHO","Upper middle income",0.84,668425
"ARG",2019,"PCV","PCV3",223.312178928989,223.312178928989,"PAHO","Upper middle income",0.8,668425
"ARG",2019,"Rota","Rota",54.7493965687061,54.7493965687061,"PAHO","Upper middle income",0.77,668425
"ARG",2019,"YF","YF",49.7734108562995,49.7734108562995,"PAHO","Upper middle income",0.08,668425
"ARG",2019,"D","DTP3",25.7069681460481,25.7069681460481,"PAHO","Upper middle income",0.83,668425
"ARG",2019,"P","DTP3",781.782311277282,781.782311277282,"PAHO","Upper middle income",0.83,668425
"ARG",2019,"T","DTP3",91.6347228724413,91.6347228724413,"PAHO","Upper middle income",0.83,668425
"ARG",2019,"TB","BCG",89.5362391366174,89.5362391366174,"PAHO","Upper middle income",0.85,668425
"ARG",2019,"Rubella","Rubella",692.808902695103,692.808902695103,"PAHO","Upper middle income",0.86,668425
"ARG",2020,"HPV","HPV",2627.1280150722,0,"PAHO","Upper middle income",0,342524
"ARG",2020,"HepB","HepB",5032.04126103007,4486.3982327256,"PAHO","Upper middle income",0.74,655816
