"location_iso3","year","disease","v_at_id","target"
"AFG",2030,"HepB",4,1140.21090078538
"AFG",2030,"Hib",5,5298.20191389515
"AFG",2030,"Measles",8,20808.3412654348
"AFG",2030,"Measles",9,2521.2502041331
"AFG",2030,"P",20,7505.92594828259
"AFG",2030,"PCV",13,5082.30041207059
"AFG",2030,"Rota",15,1741.67839527623
"AFG",2030,"Rubella",17,314.233895614083
"AFG",2030,"T",20,866.419311964206
"AFG",2030,"TB",21,1824.03826987123
"AGO",2019,"D",20,152.13694815053
"AGO",2019,"HepB",3,8619.21558165127
"AGO",2019,"HepB",4,0
"AGO",2019,"Hib",5,5343.18053015996
"AGO",2019,"Measles",8,20436.7334563024
"AGO",2019,"Measles",9,2045.86486312844
"AGO",2019,"P",20,5859.90531830907
"AGO",2019,"PCV",13,4402.00511072606
"AGO",2019,"Rota",15,1527.5344609992
"AGO",2019,"Rubella",17,457.39034070244
"AGO",2019,"T",20,426.816579915846
"AGO",2019,"TB",21,2262.71209131935
"AGO",2019,"YF",19,669.085821437303
"AGO",2020,"D",20,155.561906121422
"AGO",2020,"HPV",2,0
"AGO",2020,"HepB",3,8813.25425186306
"AGO",2020,"HepB",4,0
"AGO",2020,"Hib",5,5463.46800121253
"AGO",2020,"Measles",8,20896.8120499711
"AGO",2020,"Measles",9,2096.42347634488
"AGO",2020,"P",20,5991.8254709912
"AGO",2020,"PCV",13,4501.10452526781
"AGO",2020,"Rota",15,1561.9228287929
"AGO",2020,"Rubella",17,467.687265363027
"AGO",2020,"T",20,436.425217825718
"AGO",2020,"TB",21,2313.65102434783
"AGO",2020,"YF",19,684.148505717488
"AGO",2021,"D",20,159.097773494866
"AGO",2021,"HPV",2,4136.57051570107
"AGO",2021,"HepB",3,9013.57641903111
"AGO",2021,"HepB",4,0
"AGO",2021,"Hib",5,5587.65070591832
"AGO",2021,"Measles",8,21371.7892328736
"AGO",2021,"Measles",9,2144.76061336294
"AGO",2021,"P",20,6128.01755502054
"AGO",2021,"PCV",13,4603.4130468858
"AGO",2021,"Rota",15,1597.42478494569
"AGO",2021,"Rubella",17,478.317632294131
"AGO",2021,"T",20,446.345009419516
"AGO",2021,"TB",21,2366.23949780188
"AGO",2021,"YF",19,699.698960454583
"AGO",2022,"D",20,173.70864116157
"AGO",2022,"HPV",2,4990.00120449589
"AGO",2022,"HepB",3,9841.34521408868
"AGO",2022,"HepB",4,0
"AGO",2022,"Hib",5,6100.79695076236
