"year","target_deaths_averted","observed_deaths_averted"
2019,4258441.84191881,4258441.84191881
2020,4394785.37721996,4139431.86705059
2021,4367398.01403137,3972892.31596182
2022,4525023.74047528,4103300.95774857
2023,4733847.58775525,NA
2024,4901103.49466796,NA
2025,5112705.98932323,NA
2026,5278453.33980822,NA
2027,5443207.55643495,NA
2028,5593714.9911848,NA
2029,5724904.64284435,NA
2030,5839640.25236626,NA
