"gavi73","2001-2010","2011-2020","2021-2030"
0,"0.1 (0.1-0.1)","1.2 (1.1-1.3)","2.4 (1.7-3)"
1,"0 (0-0)","8.1 (7.2-9)","17.3 (15.6-19.1)"
